graph_id,stress,xing,xangle,iangle,ring
grafo2596.25,27.855486,2.0,0.15882765,100.39133,59.387505
grafo2597.15,3.7136095,0.0,0.0,54.085106,22.735119
grafo2598.21,30.011145,4.0,1.8875146,80.66892,55.795982
grafo2599.13,6.8282194,1.0,0.42830616,43.37352,25.968107
grafo2600.38,73.252914,6.0,1.6659172,149.9567,93.163536
grafo2601.17,19.621912,10.0,4.313056,65.27638,50.502575
grafo2602.38,93.77802,9.0,3.6455398,159.50941,113.16986
grafo2603.22,14.89492,3.0,1.1468478,98.13396,40.794785
grafo2604.18,11.235534,1.0,0.24734564,77.83721,35.810307
grafo2605.32,80.77672,15.0,9.64038,119.604576,113.455444
grafo2606.26,26.112867,3.0,0.6904607,103.10684,59.76649
grafo2607.12,2.9497805,0.0,0.0,41.368046,20.005688
grafo2608.18,13.312084,5.0,2.2485719,64.29237,35.84153
grafo2609.15,9.137126,1.0,0.5553696,63.807938,28.22437
grafo2610.17,10.371317,1.0,0.1405975,67.52094,29.890877
grafo2611.20,9.281297,0.0,0.0,87.4278,21.74494
grafo2612.37,108.47514,22.0,10.865308,150.12895,153.84723
grafo2613.15,9.621894,1.0,0.37140536,51.827286,25.112617
grafo2614.16,7.500725,0.0,0.0,61.502705,29.91199
grafo2615.17,9.501063,0.0,0.0,64.544395,21.285929
grafo2616.25,17.250818,0.0,0.0,104.481865,46.780254
grafo2617.46,98.882034,4.0,1.2179885,186.87042,116.88911
grafo2618.21,10.8800955,1.0,0.32838935,85.15648,37.326817
grafo2619.15,8.489762,0.0,0.0,64.037636,29.156538
grafo2620.13,5.1448255,0.0,0.0,45.335033,22.254679
grafo2621.14,6.1092443,0.0,0.0,54.515755,22.797918
grafo2622.38,83.27483,11.0,5.9781094,149.29884,118.94886
grafo2623.41,84.2193,9.0,2.6591182,176.39992,118.65975
grafo2624.22,13.304074,1.0,0.39036757,88.82937,41.200172
grafo2625.14,4.975057,0.0,0.0,50.818874,19.291792
grafo2626.15,8.436227,2.0,0.7342412,50.19238,31.788158
grafo2627.40,94.33733,9.0,3.611622,159.39368,131.60219
grafo2628.10,2.6328316,0.0,0.0,38.68612,14.166291
grafo2629.30,31.394117,3.0,1.9466561,125.64137,62.060562
grafo2630.22,21.358217,1.0,0.25917545,82.0656,43.353867
grafo2631.34,69.6,5.0,2.7794747,128.08076,94.05029
grafo2632.19,5.474844,0.0,0.0,76.99384,27.372812
grafo2633.17,15.805216,4.0,2.6192257,72.44634,40.974873
grafo2634.14,5.061692,0.0,0.0,58.482216,16.616129
grafo2635.44,69.4911,6.0,3.2751007,182.38495,99.91865
grafo2636.16,13.403814,3.0,1.3632959,55.90526,36.137684
grafo2637.21,9.422931,0.0,0.0,90.37403,31.384708
grafo2638.34,33.550053,0.0,0.0,142.40208,49.763832
grafo2639.29,52.500366,11.0,3.4480212,119.19102,99.37202
grafo2640.19,19.75339,4.0,1.1151316,64.099434,47.30995
grafo2641.17,10.085469,1.0,0.4930808,68.95591,36.83199
grafo2642.13,8.646,1.0,0.030208144,52.784702,27.182459
grafo2643.19,10.03712,0.0,0.0,75.2728,28.493797
grafo2644.17,10.128211,0.0,0.0,73.18266,28.009216
grafo2645.13,7.3021603,2.0,0.3254324,47.80111,26.443535
grafo2646.16,13.368123,8.0,2.8488388,58.789795,44.271286
grafo2647.17,10.241884,0.0,0.0,76.17926,30.698742
grafo2648.27,22.330822,2.0,0.84990925,114.20656,43.69257
grafo2649.22,27.84797,4.0,1.0302553,84.99977,53.329712
grafo2650.30,40.4915,2.0,0.4369663,110.38263,67.89821
grafo2651.12,2.6530366,0.0,0.0,48.31371,16.563694
grafo2652.16,17.232672,3.0,0.937646,57.735954,36.82468
grafo2653.14,5.2501287,2.0,1.2467403,45.05657,24.414911
grafo2654.33,56.946083,17.0,9.051636,146.1514,117.09343
grafo2655.18,13.865026,5.0,2.4253232,70.97571,41.267387
grafo2656.49,133.1737,7.0,2.2877858,185.81523,132.60469
grafo2657.49,131.00574,6.0,1.002789,192.18799,130.31609
grafo2658.18,15.358936,0.0,0.0,78.942856,37.513924
grafo2659.13,3.598386,0.0,0.0,50.263157,20.694994
grafo2660.22,19.044926,2.0,0.37919527,88.60454,40.45159
grafo2661.22,17.48761,5.0,1.9757622,88.51353,51.391773
grafo2662.19,10.408245,1.0,0.5263584,77.19679,24.500164
grafo2663.12,2.0091786,0.0,0.0,51.351192,14.295358
grafo2664.21,16.164743,2.0,0.9108972,85.02778,38.95004
grafo2665.12,3.7699525,0.0,0.0,43.69542,15.219761
grafo2666.61,226.27931,11.0,4.0830545,253.41687,172.67596
grafo2667.22,16.137403,0.0,0.0,87.62668,34.251545
grafo2668.12,3.7738228,0.0,0.0,42.800907,17.32999
grafo2669.13,4.269887,0.0,0.0,47.927925,23.910234
grafo2670.20,17.005808,3.0,0.9741555,73.89811,43.674
grafo2671.24,15.970052,0.0,0.0,91.2693,32.56959
grafo2672.34,48.196083,3.0,0.4207803,139.71677,77.485954
grafo2673.11,1.8377317,0.0,0.0,47.93387,13.217845
grafo2674.18,17.345692,3.0,0.52084345,73.25554,42.391514
grafo2675.12,4.4787574,0.0,0.0,55.000813,19.006538
grafo2676.22,9.69562,0.0,0.0,91.6106,35.695442
grafo2677.21,18.939194,4.0,2.8001218,75.959206,42.92576
grafo2678.37,46.796837,2.0,1.161545,147.55786,80.51624
grafo2679.17,7.3473744,0.0,0.0,64.20445,28.779047
grafo2680.17,8.987457,1.0,0.11747777,74.28777,31.849178
grafo2681.15,16.941984,3.0,0.97121966,56.946907,42.8895
grafo2682.17,13.725675,1.0,0.5710268,75.22663,30.623896
grafo2683.13,6.8618197,1.0,0.25125724,43.846565,23.507236
grafo2684.33,42.87961,4.0,2.0044007,123.78622,66.527565
grafo2685.44,80.639114,10.0,4.6506815,188.2065,96.651024
grafo2686.44,77.3617,13.0,6.693915,187.43721,97.77453
grafo2687.33,74.87169,15.0,7.7181134,132.54456,117.060974
grafo2688.17,18.197577,7.0,1.8323472,62.159622,47.051384
grafo2689.21,19.977451,3.0,1.7058461,89.85496,47.74501
grafo2690.41,123.43906,20.0,10.076241,157.02727,140.49777
grafo2691.23,22.052053,3.0,1.5890278,98.00734,54.33608
grafo2692.85,334.5329,27.0,14.308531,339.8646,309.62326
grafo2693.13,6.702154,0.0,0.0,60.387527,20.51968
